DateKey,Date,CalendarYear,CalendarMonth,CalendarMonthName,CalendarQuarter,FiscalYear,FiscalMonth,FiscalMonthName,FiscalQuarter,IsCurrentFY,IsWeekend,DayOfWeek,DayName
20200101,2020-01-01,2020,1,January,1,2021,1,January,1,False,False,3,Wednesday
20200102,2020-01-02,2020,1,January,1,2021,1,January,1,False,False,4,Thursday
20200103,2020-01-03,2020,1,January,1,2021,1,January,1,False,False,5,Friday
20200104,2020-01-04,2020,1,January,1,2021,1,January,1,False,True,6,Saturday
20200105,2020-01-05,2020,1,January,1,2021,1,January,1,False,True,7,Sunday
20200106,2020-01-06,2020,1,January,1,2021,1,January,1,False,False,1,Monday
20200107,2020-01-07,2020,1,January,1,2021,1,January,1,False,False,2,Tuesday
20200108,2020-01-08,2020,1,January,1,2021,1,January,1,False,False,3,Wednesday
20200109,2020-01-09,2020,1,January,1,2021,1,January,1,False,False,4,Thursday
20200110,2020-01-10,2020,1,January,1,2021,1,January,1,False,False,5,Friday
20200111,2020-01-11,2020,1,January,1,2021,1,January,1,False,True,6,Saturday
20200112,2020-01-12,2020,1,January,1,2021,1,January,1,False,True,7,Sunday
20200113,2020-01-13,2020,1,January,1,2021,1,January,1,False,False,1,Monday
20200114,2020-01-14,2020,1,January,1,2021,1,January,1,False,False,2,Tuesday
20200115,2020-01-15,2020,1,January,1,2021,1,January,1,False,False,3,Wednesday
20200116,2020-01-16,2020,1,January,1,2021,1,January,1,False,False,4,Thursday
20200117,2020-01-17,2020,1,January,1,2021,1,January,1,False,False,5,Friday
20200118,2020-01-18,2020,1,January,1,2021,1,January,1,False,True,6,Saturday
20200119,2020-01-19,2020,1,January,1,2021,1,January,1,False,True,7,Sunday
20200120,2020-01-20,2020,1,January,1,2021,1,January,1,False,False,1,Monday
20200121,2020-01-21,2020,1,January,1,2021,1,January,1,False,False,2,Tuesday
20200122,2020-01-22,2020,1,January,1,2021,1,January,1,False,False,3,Wednesday
20200123,2020-01-23,2020,1,January,1,2021,1,January,1,False,False,4,Thursday
