BudgetKey,DateKey,AreaKey,IndustryKey,BudgetAmountLC
1,20240101,1,1,350274.36
2,20240101,1,2,126643.19
3,20240101,1,3,133991.75
4,20240101,1,4,56306.08
5,20240101,1,5,122664.62
6,20240101,1,6,91520.84
7,20240101,1,7,271208.9
8,20240101,1,8,419285.69
9,20240101,1,9,291309.8
10,20240101,1,10,132076.4
11,20240101,2,1,332719.53
12,20240101,2,2,167494.26
13,20240101,2,3,468763.49
14,20240101,2,4,238940.48
15,20240101,2,5,307633.91
16,20240101,2,6,203061.9
17,20240101,2,7,423386.33
18,20240101,2,8,402977.55
19,20240101,2,9,359050.66
20,20240101,2,10,247068.95
21,20240101,3,1,391045.31
22,20240101,3,2,439962.59
23,20240101,3,3,154232.96
24,20240101,3,4,420144.86
25,20240101,3,5,159363.23
26,20240101,3,6,101743.46
27,20240101,3,7,281885.14
28,20240101,3,8,294580.29
29,20240101,3,9,498161.78
30,20240101,3,10,233791.33
31,20240101,4,1,202312.07
32,20240101,4,2,307591.41
33,20240101,4,3,252339.47
34,20240101,4,4,382453.46
35,20240101,4,5,271771.74
36,20240101,4,6,366268.69
37,20240101,4,7,295069.26
38,20240101,4,8,336492.57
39,20240101,4,9,231251.63
40,20240101,4,10,467197.44
41,20240101,5,1,103547.73
42,20240101,5,2,265244.56
43,20240101,5,3,77490.03
44,20240101,5,4,437406.82
45,20240101,5,5,273408.98
46,20240101,5,6,455140.63
47,20240101,5,7,283224.82
48,20240101,5,8,413422.55
49,20240101,5,9,437045.48
50,20240101,5,10,56957.82
51,20240201,1,1,394041.21
52,20240201,1,2,219252.57
53,20240201,1,3,114633.26
54,20240201,1,4,346509.74
55,20240201,1,5,126923.12
56,20240201,1,6,150758.7
57,20240201,1,7,207186.72
58,20240201,1,8,353247.37
59,20240201,1,9,88785.11
60,20240201,1,10,227010.55
61,20240201,2,1,443052.82
62,20240201,2,2,214718.22
63,20240201,2,3,399778.96
64,20240201,2,4,292583.54
65,20240201,2,5,251277.05
66,20240201,2,6,97205.41
67,20240201,2,7,169208.87
68,20240201,2,8,306244.31
69,20240201,2,9,379620.34
70,20240201,2,10,285276.86
71,20240201,3,1,396540.59
72,20240201,3,2,128396.63
73,20240201,3,3,491765.92
74,20240201,3,4,112434.84
75,20240201,3,5,305540.17
76,20240201,3,6,486012.44
77,20240201,3,7,389733.36
78,20240201,3,8,479701.05
79,20240201,3,9,300886.89
80,20240201,3,10,290416.78
81,20240201,4,1,356837.9
82,20240201,4,2,155848.63
83,20240201,4,3,330546.65
84,20240201,4,4,293835.94
85,20240201,4,5,402507.2
86,20240201,4,6,440634.94
87,20240201,4,7,478889.11
88,20240201,4,8,107093.34
89,20240201,4,9,463363.7
90,20240201,4,10,432892.61
91,20240201,5,1,409273.29
92,20240201,5,2,478129.99
93,20240201,5,3,361306.97
94,20240201,5,4,153409.58
95,20240201,5,5,428793.75
96,20240201,5,6,244917.89
97,20240201,5,7,373635.02
98,20240201,5,8,372537.98
99,20240201,5,9,162847.09
100,20240201,5,10,486079.53
101,20240301,1,1,341766.79
102,20240301,1,2,184161.77
103,20240301,1,3,322518.93
104,20240301,1,4,430760.99
105,20240301,1,5,324378.49
106,20240301,1,6,299093.39
107,20240301,1,7,79707.77
