SalesKey,SalesID,DateKey,CustomerKey,CountryKey,AreaKey,IndustryKey,SalespersonKey,SalesAmountLC,AdjustedProfitLC,ItemProfitLC,ResourceProfitLC,DiscountAmountLC,ActualDeliveryDays,ExpectedDeliveryDays
1,SO-000001,20260517,11,14,4,4,14,78569.63,30818.87,19664.97,11153.9,761.58,12,9
2,SO-000002,20260404,84,7,2,5,11,46968.95,17318.52,12723.45,4595.07,4622.52,2,4
3,SO-000003,20250110,76,8,2,1,9,80158.95,14651.51,9352.32,5299.19,4298.81,9,5
4,SO-000004,20270828,57,14,4,10,18,46531.49,19187.06,11801.52,7385.54,3759.85,2,4
5,SO-000005,20260921,14,6,2,7,16,83684.74,36879.77,28960.7,7919.07,7102.29,9,5
6,SO-000006,20260720,16,5,1,4,10,21767.86,5884.12,3599.48,2284.64,824.94,11,9
7,SO-000007,20250123,65,14,4,3,10,42589.24,18619.82,14878.81,3741.01,2366.98,10,10
8,SO-000008,20240412,60,15,5,9,19,22161.24,3713.0,2774.16,938.84,135.09,6,8
9,SO-000009,20240520,63,9,3,6,20,47940.46,20413.82,14416.75,5997.07,272.68,4,4
10,SO-000010,20270622,33,6,2,6,3,7262.11,2966.9,2019.73,947.17,683.8,4,6
11,SO-000011,20250503,82,6,2,5,9,42212.88,13723.48,9668.97,4054.51,3945.66,9,6
12,SO-000012,20260727,24,3,1,9,20,39880.69,14018.34,9252.1,4766.24,1260.94,2,4
13,SO-000013,20251215,22,15,5,9,3,99846.22,44813.87,27544.94,17268.93,2128.27,7,7
14,SO-000014,20270929,35,9,3,2,18,87987.39,22952.23,14495.47,8456.76,7335.9,5,7
15,SO-000015,20270207,1,4,1,1,5,30288.19,10571.08,8327.75,2243.33,406.74,3,4
16,SO-000016,20250529,36,6,2,9,2,27598.65,9147.54,6801.4,2346.14,561.9,12,7
17,SO-000017,20241126,82,6,2,5,15,9683.7,2683.09,1758.33,924.76,3.43,7,5
18,SO-000018,20260126,60,15,5,9,19,55392.2,15415.99,9279.41,6136.58,416.79,3,5
19,SO-000019,20250306,20,12,3,10,8,55476.25,15474.32,9414.05,6060.27,2022.95,6,3
20,SO-000020,20241128,83,14,4,4,6,66859.87,17123.05,12191.21,4931.84,5848.32,6,5
21,SO-000021,20250630,7,1,1,2,6,88200.91,13885.99,10377.18,3508.81,2929.91,10,9
22,SO-000022,20260731,28,2,1,4,12,78843.76,14383.36,11138.95,3244.41,6769.47,7,6
